Brand|Equity/NPD|Campaign|Country|Agency|Brand Generation|Product|Campaign2|CampaignID|Sub Campaign|Campaign Start Date|Campaign End Date|Planning Target|Media Mix|Channel|Channel Detail|Media Type|Digital Platform|Buying Type|Device|Format|Net Spend (Local)|Currency ISO Code|Spot Length (sec)|GRPs|Adjusted GRPs|TRPs|Admissions|Impacts (000s)|Number/Length of Executions|Impressions|Clicks|Engagements|Valued Views|Reach|Frequency|Comments|OOH Format Category|Week|Facebook Objective|Facebook Buying Type|YouTube Format|Site/Platform|Year|Digital Platform categorisation |Campaign Generation|Category|
Walkers Family Snacks|NPD|Quavers Retro Flavours (NPD)|UK|OMD|LAYS|Quavers|Quavers Retro Flavours (NPD)|||15-1-2021|26-2-2021|18-44|Digital|Digital|Youtube|Digital|Youtube|Other Sites|Multi-platform|Tracking|39,149|GBP|6|||||||8,510,749|3,848||0|||Not all formats were video, some were statics hence why there’s zero views||1-feb-21|||Bumper||2021|YOUTUBE|GB_LAYS_Jan_2021_WALKERS-OTHER_NPD_FAMILY SNACKS_QUAVERS_3333587421||
Walkers Family Snacks|NPD|Quavers Retro Flavours (NPD)|UK|OMD|LAYS|Quavers|Quavers Retro Flavours (NPD)|||15-1-2021|26-2-2021|18-44|Digital|Digital|Youtube|Digital|Youtube|YouTube Programmatic|Multi-platform|Bumper|11,173|GBP|6|||||||4,473,313|1,556||0|||Not all formats were video, some were statics hence why there’s zero views||12-apr-21|||Bumper||2021|YOUTUBE|GB_LAYS_Jan_2021_WALKERS-OTHER_NPD_FAMILY SNACKS_QUAVERS_3333587421_Awareness (CPM)_DEM_18-44_Jan21_Hero 1||
Walkers Family Snacks|NPD|Quavers Retro Flavours (NPD)|UK|OMD|LAYS|Quavers|Quavers Retro Flavours (NPD)|||15-1-2021|26-2-2021|18-44|Digital|Digital|Youtube|Digital|Youtube|YouTube Programmatic|Multi-platform|Bumper|11,171|GBP|6|||||||4,413,068|1,513||0|||Not all formats were video, some were statics hence why there’s zero views||12-apr-21|||Bumper||2021|YOUTUBE|GB_LAYS_Jan_2021_WALKERS-OTHER_NPD_FAMILY SNACKS_QUAVERS_3333587421_Awareness (CPM)_DEM_18-44_Jan21_Hero 2||
Walkers Family Snacks|NPD|Quavers Retro Flavours (NPD)|UK|OMD|LAYS|Quavers|Quavers Retro Flavours (NPD)|||15-1-2021|26-2-2021|18-44|Digital|Digital|Youtube|Digital|Youtube|YouTube Programmatic|Multi-platform|Bumper|8,342|GBP|6|||||||3,052,491|908||0|||Not all formats were video, some were statics hence why there’s zero views||12-apr-21|||Bumper||2021|YOUTUBE|GB_LAYS_Jan_2021_WALKERS-OTHER_NPD_FAMILY SNACKS_QUAVERS_3333587421_Awareness (CPM)_DEM_18-44_Jan21_Hero 1||
Walkers Family Snacks|NPD|Quavers Retro Flavours (NPD)|UK|OMD|LAYS|Quavers|Quavers Retro Flavours (NPD)|||15-1-2021|26-2-2021|18-44|Digital|Digital|Youtube|Digital|Youtube|YouTube Programmatic|Multi-platform|Bumper|8,377|GBP|6|||||||3,035,114|926||0|||Not all formats were video, some were statics hence why there’s zero views||12-apr-21|||Bumper||2021|YOUTUBE|GB_LAYS_Jan_2021_WALKERS-OTHER_NPD_FAMILY SNACKS_QUAVERS_3333587421_Awareness (CPM)_DEM_18-44_Jan21_Hero 1||
Walkers Family Snacks|NPD|Quavers Retro Flavours (NPD)|UK|OMD|LAYS|Quavers|Quavers Retro Flavours (NPD)|||15-1-2021|26-2-2021|18-44|Digital|Digital|Youtube|Digital|Youtube|YouTube Programmatic|Multi-platform|Bumper|8,363|GBP|6|||||||2,999,899|794||0|||Not all formats were video, some were statics hence why there’s zero views||12-apr-21|||Bumper||2021|YOUTUBE|GB_LAYS_Jan_2021_WALKERS-OTHER_NPD_FAMILY SNACKS_QUAVERS_3333587421_Awareness (CPM)_DEM_18-44_Jan21_Hero 1||
Walkers Family Snacks|NPD|Quavers Retro Flavours (NPD)|UK|OMD|LAYS|Quavers|Quavers Retro Flavours (NPD)|||15-1-2021|26-2-2021|18-44|Digital|Digital|Youtube|Digital|Youtube|YouTube Programmatic|Multi-platform|Trueview|11,175|GBP|20|||||||2,782,697|820||378,807|||||12-apr-21|||Trueview for Reach||2021|YOUTUBE|GB_LAYS_Jan_2021_WALKERS-OTHER_NPD_FAMILY SNACKS_QUAVERS_3333587421_Awareness (CPM)_DEM_18-44_Jan21_Competition||
Walkers Family Snacks|NPD|Quavers Retro Flavours (NPD)|UK|OMD|LAYS|Quavers|Quavers Retro Flavours (NPD)|||15-1-2021|26-2-2021|18-44|Digital|Digital|Youtube|Digital|Youtube|YouTube Programmatic|Multi-platform|Trueview|11,167|GBP|20|||||||2,741,156|731||370,938|||||12-apr-21|||Trueview for Reach||2021|YOUTUBE|GB_LAYS_Jan_2021_WALKERS-OTHER_NPD_FAMILY SNACKS_QUAVERS_3333587421_Awareness (CPM)_DEM_18-44_Jan21_TVC||
Walkers Family Snacks|NPD|Quavers Retro Flavours (NPD)|UK|OMD|LAYS|Quavers|Quavers Retro Flavours (NPD)|||15-1-2021|26-2-2021|18-44|Digital|Digital|Youtube|Digital|Youtube|YouTube Programmatic|Multi-platform|Bumper|8,379|GBP|6|||||||2,706,743|815||0|||Not all formats were video, some were statics hence why there’s zero views||12-apr-21|||Bumper||2021|YOUTUBE|GB_LAYS_Jan_2021_WALKERS-OTHER_NPD_FAMILY SNACKS_QUAVERS_3333587421_Awareness (CPM)_DEM_18-44_Jan21_Hero 1||
Walkers Family Snacks|NPD|Quavers Retro Flavours (NPD)|UK|OMD|LAYS|Quavers|Quavers Retro Flavours (NPD)|||15-1-2021|26-2-2021|18-44|Digital|Digital|Youtube|Digital|Youtube|YouTube Programmatic|Multi-platform|Bumper|8,376|GBP|6|||||||2,586,994|823||0|||Not all formats were video, some were statics hence why there’s zero views||12-apr-21|||Bumper||2021|YOUTUBE|GB_LAYS_Jan_2021_WALKERS-OTHER_NPD_FAMILY SNACKS_QUAVERS_3333587421_Awareness (CPM)_DEM_18-44_Jan21_Hero 2||
Walkers Family Snacks|NPD|Quavers Retro Flavours (NPD)|UK|OMD|LAYS|Quavers|Quavers Retro Flavours (NPD)|||15-1-2021|26-2-2021|18-44|Digital|Digital|Youtube|Digital|Youtube|YouTube Programmatic|Multi-platform|Bumper|8,357|GBP|6|||||||2,581,480|855||0|||Not all formats were video, some were statics hence why there’s zero views||12-apr-21|||Bumper||2021|YOUTUBE|GB_LAYS_Jan_2021_WALKERS-OTHER_NPD_FAMILY SNACKS_QUAVERS_3333587421_Awareness (CPM)_DEM_18-44_Jan21_Hero 2||
Walkers Family Snacks|NPD|Quavers Retro Flavours (NPD)|UK|OMD|LAYS|Quavers|Quavers Retro Flavours (NPD)|||15-1-2021|26-2-2021|18-44|Digital|Digital|Youtube|Digital|Youtube|YouTube Programmatic|Multi-platform|Bumper|8,361|GBP|6|||||||2,521,189|760||0|||Not all formats were video, some were statics hence why there’s zero views||12-apr-21|||Bumper||2021|YOUTUBE|GB_LAYS_Jan_2021_WALKERS-OTHER_NPD_FAMILY SNACKS_QUAVERS_3333587421_Awareness (CPM)_DEM_18-44_Jan21_Hero 2||
Walkers Family Snacks|NPD|Quavers Retro Flavours (NPD)|UK|OMD|LAYS|Quavers|Quavers Retro Flavours (NPD)|||15-1-2021|26-2-2021|18-44|Digital|Digital|Youtube|Digital|Youtube|YouTube Programmatic|Multi-platform|Bumper|8,375|GBP|6|||||||2,374,531|764||0|||Not all formats were video, some were statics hence why there’s zero views||12-apr-21|||Bumper||2021|YOUTUBE|GB_LAYS_Jan_2021_WALKERS-OTHER_NPD_FAMILY SNACKS_QUAVERS_3333587421_Awareness (CPM)_DEM_18-44_Jan21_Hero 2||
Walkers Family Snacks|NPD|Quavers Retro Flavours (NPD)|UK|OMD|LAYS|Quavers|Quavers Retro Flavours (NPD)|||15-1-2021|26-2-2021|18-44|Digital|Digital|Youtube|Digital|Youtube|YouTube Programmatic|Multi-platform|Trueview|8,380|GBP|20|||||||2,278,208|865||273,668|||||12-apr-21|||Trueview for Reach||2021|YOUTUBE|GB_LAYS_Jan_2021_WALKERS-OTHER_NPD_FAMILY SNACKS_QUAVERS_3333587421_Awareness (CPM)_DEM_18-44_Jan21_TVC||
Walkers Family Snacks|NPD|Quavers Retro Flavours (NPD)|UK|OMD|LAYS|Quavers|Quavers Retro Flavours (NPD)|||15-1-2021|26-2-2021|18-44|Digital|Digital|Youtube|Digital|Youtube|YouTube Programmatic|Multi-platform|Trueview|8,374|GBP|20|||||||2,242,554|997||275,891|||||12-apr-21|||Trueview for Reach||2021|YOUTUBE|GB_LAYS_Jan_2021_WALKERS-OTHER_NPD_FAMILY SNACKS_QUAVERS_3333587421_Awareness (CPM)_DEM_18-44_Jan21_TVC||
Walkers Family Snacks|NPD|Quavers Retro Flavours (NPD)|UK|OMD|LAYS|Quavers|Quavers Retro Flavours (NPD)|||15-1-2021|26-2-2021|18-44|Digital|Digital|Youtube|Digital|Youtube|YouTube Programmatic|Multi-platform|Trueview|8,381|GBP|20|||||||2,241,715|1,124||276,232|||||12-apr-21|||Trueview for Reach||2021|YOUTUBE|GB_LAYS_Jan_2021_WALKERS-OTHER_NPD_FAMILY SNACKS_QUAVERS_3333587421_Awareness (CPM)_DEM_18-44_Jan21_TVC||
Walkers Family Snacks|NPD|Quavers Retro Flavours (NPD)|UK|OMD|LAYS|Quavers|Quavers Retro Flavours (NPD)|||15-1-2021|26-2-2021|18-44|Digital|Digital|Youtube|Digital|Youtube|YouTube Programmatic|Multi-platform|Trueview|8,372|GBP|20|||||||2,228,420|803||260,746|||||12-apr-21|||Trueview for Reach||2021|YOUTUBE|GB_LAYS_Jan_2021_WALKERS-OTHER_NPD_FAMILY SNACKS_QUAVERS_3333587421_Awareness (CPM)_DEM_18-44_Jan21_Competition||
